Name,University,Course,Start Year,End Year,GPA,Preferred Career,Skills,Certifications,Preferred Location
Noah Maldonado,VIT,Cybersecurity,2021,2025,7.64,Civil Project Manager,"TensorFlow, Python, Java, C++, R","Google Data Analytics, Cisco CCNA",Mumbai
Brandon Page,IIIT Hyderabad,Civil,2021,2025,8.4,Software Engineer,"Power BI, AutoCAD, SQL, Linux",,Delhi
Austin Adams,VIT,Computer Science,2017,2021,7.79,Biotech Researcher,"TensorFlow, AutoCAD, Excel, Java, MATLAB",AutoCAD Professional,Ahmedabad
Daniel Brooks,BITS Pilani,AI & ML,2016,2020,8.97,Software Engineer,"Excel, AutoCAD, R, SQL, C++","Cisco CCNA, Google Data Analytics",Chennai
Hannah Duke,VIT,Biotech,2015,2019,7.93,Cybersecurity Analyst,"Excel, Power BI, R, Java, AutoCAD",AutoCAD Professional,Pune
Leonard Mann,IIIT Hyderabad,Computer Science,2021,2025,8.67,ML Engineer,"MATLAB, SQL, Excel, Java","AWS Certified, Cisco CCNA",Chennai
Paul Richardson,VIT,Biotech,2018,2022,8.51,ML Engineer,"SQL, Java, AutoCAD",Cisco CCNA,Chennai
Benjamin Gonzalez,IIIT Hyderabad,AI & ML,2015,2019,8.75,ML Engineer,"R, C++, Power BI, Linux, Python",Scrum Master,Pune
John Aguirre,IIT Bombay,Electronics,2019,2023,6.18,Biotech Researcher,"AutoCAD, R, Linux, MATLAB, SQL","AutoCAD Professional, Scrum Master",Pune
Karen Gomez,IIT Delhi,Civil,2021,2025,9.62,Software Engineer,"Excel, MATLAB, Java, C++",,Hyderabad
Casey Bright,IIIT Hyderabad,Data Science,2022,2026,7.53,Biotech Researcher,"Power BI, R","Google Data Analytics, Azure Fundamentals",Kolkata
Karen Harper,IIT Madras,Biotech,2018,2022,8.14,Systems Engineer,"Excel, Power BI, MATLAB, Linux, R",,Ahmedabad
Vicki Henson,VIT,Biotech,2017,2021,6.63,Biotech Researcher,"C++, AutoCAD, Excel, Java, SQL",,Delhi
Blake Collier,NIT Trichy,Biotech,2015,2019,7.45,ML Engineer,"AutoCAD, Java, SQL, Power BI, C++",,Pune
Aaron Cain,BITS Pilani,AI & ML,2019,2023,6.61,Civil Project Manager,"Python, SQL, Java",Azure Fundamentals,Pune
Sarah Lawrence,IIT Delhi,AI & ML,2017,2021,7.06,ML Engineer,"Excel, AutoCAD, MATLAB, Linux, Python",,Bangalore
Edward Cook,NIT Warangal,Computer Science,2022,2026,7.98,Systems Engineer,"MATLAB, Excel, Power BI",,Bangalore
Robert Wallace,BITS Pilani,Cybersecurity,2019,2023,7.98,Data Analyst,"SQL, MATLAB, TensorFlow, C++, Python",Azure Fundamentals,Bangalore
Kevin Lara,IIIT Hyderabad,Data Science,2017,2021,8.09,Civil Project Manager,"Linux, MATLAB, Excel, Power BI","Google Data Analytics, AWS Certified",Ahmedabad
Joshua Cardenas,BITS Pilani,AI & ML,2016,2020,6.95,Systems Engineer,"MATLAB, Python, C++","Google Data Analytics, Cisco CCNA",Chennai
James Kelly,IIT Bombay,Data Science,2019,2023,6.71,Cybersecurity Analyst,"C++, Python, SQL, Power BI, R",Google Data Analytics,Mumbai
Cody Keller,IIT Bombay,Data Science,2020,2024,8.16,Mechanical Design Engineer,"SQL, Excel, TensorFlow","AWS Certified, Cisco CCNA",Pune
Julie White,NIT Warangal,Data Science,2015,2019,6.19,Biotech Researcher,"SQL, AutoCAD, MATLAB, Java",,Chennai
Margaret Kim,IIT Madras,Computer Science,2022,2026,7.39,Mechanical Design Engineer,"TensorFlow, Java, Power BI","Cisco CCNA, AWS Certified",Ahmedabad
Brenda Davis,VIT,Electronics,2017,2021,7.45,Software Engineer,"Java, SQL",,Bangalore
Thomas Murphy,IIT Delhi,Data Science,2015,2019,8.24,Systems Engineer,"C++, Java, SQL","Google Data Analytics, AWS Certified",Kolkata
Kelly Richardson,IIT Madras,Cybersecurity,2022,2026,6.82,Mechanical Design Engineer,"Linux, Excel, R","Google Data Analytics, Azure Fundamentals",Mumbai
Priscilla Spears,IIT Bombay,Biotech,2017,2021,6.83,Data Analyst,"AutoCAD, Java",,Chennai
Joseph Hughes,IIT Delhi,Data Science,2020,2024,8.65,ML Engineer,"AutoCAD, R, Power BI, C++",Azure Fundamentals,Ahmedabad
Janet Martinez,NIT Trichy,Civil,2015,2019,9.25,Civil Project Manager,"Power BI, Excel, TensorFlow",,Kolkata
Lisa Powers,BITS Pilani,Electronics,2022,2026,8.86,Mechanical Design Engineer,"MATLAB, R, C++, TensorFlow",AWS Certified,Kolkata
Tyler Garrett,IIT Bombay,Electronics,2015,2019,7.24,Systems Engineer,"Java, Power BI, AutoCAD",Cisco CCNA,Hyderabad
Brian Wright,IIT Delhi,Mechanical,2018,2022,9.6,Cybersecurity Analyst,"Excel, AutoCAD, R",Cisco CCNA,Bangalore
Shelly Harris,VIT,Data Science,2019,2023,8.19,Cybersecurity Analyst,"C++, TensorFlow, AutoCAD, Python, Java","Scrum Master, Cisco CCNA",Ahmedabad
Eric Hayes,IIT Bombay,Biotech,2018,2022,6.8,ML Engineer,"R, Excel, Power BI","AutoCAD Professional, AWS Certified",Hyderabad
Mary Rice,NIT Trichy,AI & ML,2015,2019,7.37,Cybersecurity Analyst,"Python, TensorFlow",Cisco CCNA,Chennai
Faith Carlson,IIIT Hyderabad,Biotech,2016,2020,9.99,Biotech Researcher,"Power BI, AutoCAD, Excel, Linux","Azure Fundamentals, Scrum Master",Hyderabad
Monica Ortiz,IIT Delhi,AI & ML,2022,2026,7.84,Biotech Researcher,"Python, TensorFlow, C++",,Bangalore
Steven Johnson,IIT Bombay,Civil,2021,2025,8.21,Data Analyst,"Python, Excel, SQL, TensorFlow, MATLAB","AutoCAD Professional, Azure Fundamentals",Delhi
Cheryl Moore,VIT,Cybersecurity,2016,2020,7.33,Software Engineer,"C++, Power BI, TensorFlow","Google Data Analytics, Cisco CCNA",Bangalore
Renee Young,IIT Bombay,Electronics,2018,2022,9.48,Data Analyst,"Linux, R, MATLAB, TensorFlow",,Chennai
Jennifer Brown,IIT Delhi,Mechanical,2016,2020,6.1,Systems Engineer,"R, SQL, TensorFlow",,Chennai
John Cooper,NIT Warangal,Cybersecurity,2022,2026,8.93,Data Analyst,"AutoCAD, Java","Google Data Analytics, Azure Fundamentals",Ahmedabad
Mr. Kenneth Dean,IIT Bombay,Mechanical,2020,2024,8.84,Cybersecurity Analyst,"C++, AutoCAD, SQL, Power BI, Linux","Cisco CCNA, Azure Fundamentals",Mumbai
Fernando Williams,NIT Warangal,Mechanical,2015,2019,9.74,Mechanical Design Engineer,"Power BI, SQL, C++","Scrum Master, Azure Fundamentals",Mumbai
Laura Lindsey,IIT Bombay,AI & ML,2019,2023,9.43,ML Engineer,"C++, Power BI, R",Cisco CCNA,Hyderabad
Jennifer Sanchez,NIT Trichy,Computer Science,2022,2026,9.06,Data Analyst,"Power BI, Python","Cisco CCNA, Azure Fundamentals",Ahmedabad
Tyrone Eaton,IIT Delhi,AI & ML,2015,2019,6.93,Biotech Researcher,"TensorFlow, Power BI, MATLAB, Excel",Azure Fundamentals,Ahmedabad
Melissa Glenn,NIT Trichy,AI & ML,2021,2025,9.17,ML Engineer,"Power BI, Java, AutoCAD, MATLAB, Excel",,Hyderabad
Danielle Jones,IIT Bombay,Electronics,2022,2026,8.29,Cybersecurity Analyst,"R, TensorFlow, C++, Java",,Chennai
Tracy Hawkins,IIT Madras,Biotech,2022,2026,9.92,ML Engineer,"R, SQL",AutoCAD Professional,Mumbai
Tammy Mckenzie,IIT Bombay,Computer Science,2022,2026,7.45,Civil Project Manager,"R, AutoCAD",Google Data Analytics,Ahmedabad
Angela Phillips,BITS Pilani,Cybersecurity,2015,2019,6.66,Data Analyst,"Python, Linux, SQL, R",,Ahmedabad
Jennifer Hall,IIT Madras,Biotech,2022,2026,7.0,Data Analyst,"Power BI, TensorFlow, Java",Azure Fundamentals,Kolkata
Nathan Rowe,VIT,Electronics,2020,2024,6.34,Biotech Researcher,"Power BI, TensorFlow, C++",,Kolkata
Michelle Fowler,NIT Warangal,Electronics,2017,2021,9.09,Civil Project Manager,"C++, AutoCAD, Excel, Linux, Power BI",,Hyderabad
Michael Webb,IIT Madras,Electronics,2016,2020,9.32,Software Engineer,"MATLAB, Power BI, Linux, R, C++",,Bangalore
John Wilkerson,IIT Delhi,Mechanical,2022,2026,8.2,ML Engineer,"AutoCAD, Java, SQL, Python",Scrum Master,Kolkata
Stephen Ewing,IIIT Hyderabad,Mechanical,2019,2023,7.4,Biotech Researcher,"C++, SQL, Power BI, MATLAB, AutoCAD","Cisco CCNA, Azure Fundamentals",Chennai
Karen Montes,NIT Trichy,Electronics,2017,2021,7.62,Mechanical Design Engineer,"SQL, R, MATLAB, TensorFlow, AutoCAD",,Pune
Jeffrey Parker,BITS Pilani,Data Science,2020,2024,7.49,Systems Engineer,"Java, TensorFlow, C++","Cisco CCNA, Google Data Analytics",Kolkata
Paul Brown,NIT Trichy,Data Science,2020,2024,6.76,Biotech Researcher,"AutoCAD, Excel, Power BI",,Mumbai
Jacqueline Hines,VIT,Biotech,2021,2025,8.96,Data Analyst,"Java, AutoCAD, Power BI",Azure Fundamentals,Bangalore
Carol Ortiz,IIT Bombay,Civil,2018,2022,9.84,ML Engineer,"Linux, TensorFlow",,Kolkata
Steven Alvarez,NIT Warangal,Data Science,2017,2021,7.14,Biotech Researcher,"Excel, AutoCAD, SQL, TensorFlow",Google Data Analytics,Bangalore
Kenneth Stout,IIT Delhi,AI & ML,2016,2020,6.82,Biotech Researcher,"Java, AutoCAD, R",,Hyderabad
Brandon Anderson,IIIT Hyderabad,Computer Science,2017,2021,9.55,Software Engineer,"R, Python, MATLAB, TensorFlow","AWS Certified, AutoCAD Professional",Chennai
Danny Espinoza,IIIT Hyderabad,Civil,2019,2023,7.9,Biotech Researcher,"R, TensorFlow, Python, C++, MATLAB",,Hyderabad
Danielle Cohen,NIT Trichy,Biotech,2021,2025,6.2,ML Engineer,"R, TensorFlow",,Kolkata
Shannon Murray,BITS Pilani,Electronics,2015,2019,6.67,ML Engineer,"SQL, Java",Google Data Analytics,Kolkata
Jeffrey Russo,IIT Bombay,Cybersecurity,2021,2025,9.74,Civil Project Manager,"C++, Python, Java, SQL, TensorFlow",Google Data Analytics,Ahmedabad
Latasha Decker,NIT Trichy,Biotech,2022,2026,8.02,Cybersecurity Analyst,"Power BI, Excel, MATLAB, R","AWS Certified, Azure Fundamentals",Pune
Jeffery Johnson,BITS Pilani,Mechanical,2017,2021,6.8,Cybersecurity Analyst,"C++, Power BI",,Ahmedabad
Anthony Roberts,NIT Warangal,Biotech,2020,2024,6.73,Mechanical Design Engineer,"Python, MATLAB, Power BI, C++",Cisco CCNA,Bangalore
Erik Johnson,IIT Delhi,Electronics,2021,2025,7.13,Cybersecurity Analyst,"Python, Power BI, TensorFlow, C++, MATLAB",Google Data Analytics,Ahmedabad
Melissa Wang,BITS Pilani,Mechanical,2022,2026,10.0,Biotech Researcher,"TensorFlow, Power BI",Google Data Analytics,Pune
Elizabeth Burke MD,BITS Pilani,Cybersecurity,2022,2026,6.25,Software Engineer,"TensorFlow, SQL, MATLAB, AutoCAD, Excel",,Chennai
Michelle Smith,VIT,Biotech,2016,2020,6.5,Systems Engineer,"R, Linux",,Pune
Ricardo Chang,IIT Delhi,Biotech,2020,2024,7.98,Cybersecurity Analyst,"C++, Linux, AutoCAD, Python",AWS Certified,Bangalore
Anthony Kirby,NIT Trichy,Electronics,2021,2025,9.75,Civil Project Manager,"Power BI, MATLAB, Excel, AutoCAD, TensorFlow",,Bangalore
Dawn Garcia PhD,IIT Madras,Electronics,2018,2022,7.46,Data Analyst,"Python, TensorFlow, Linux, SQL",Scrum Master,Kolkata
Lisa Taylor,BITS Pilani,Computer Science,2016,2020,9.53,Civil Project Manager,"C++, TensorFlow, Python, Java, Linux","Azure Fundamentals, AWS Certified",Kolkata
Cathy Gregory,IIT Madras,Cybersecurity,2016,2020,8.46,Civil Project Manager,"MATLAB, AutoCAD, R, C++, Power BI",,Kolkata
Isaiah Peterson,NIT Warangal,Civil,2015,2019,8.11,Software Engineer,"MATLAB, Java",Google Data Analytics,Delhi
Travis Henson,NIT Warangal,Cybersecurity,2021,2025,9.31,ML Engineer,"MATLAB, TensorFlow, Linux",,Delhi
David Lopez,IIT Madras,Mechanical,2018,2022,6.29,Software Engineer,"Java, SQL, Excel, TensorFlow","Scrum Master, Cisco CCNA",Hyderabad
Sarah May,NIT Trichy,Computer Science,2017,2021,7.29,Biotech Researcher,"SQL, Excel, Java",,Ahmedabad
Juan Robinson,IIIT Hyderabad,Mechanical,2020,2024,9.39,ML Engineer,"R, TensorFlow, Java, AutoCAD",AutoCAD Professional,Delhi
Cody Meza,IIT Bombay,AI & ML,2022,2026,9.99,Data Analyst,"R, Excel, TensorFlow, AutoCAD, MATLAB",Google Data Analytics,Delhi
Chelsea Snow,IIT Delhi,Data Science,2016,2020,9.15,Civil Project Manager,"Excel, MATLAB, Python",Scrum Master,Kolkata
Stephanie Manning,VIT,Biotech,2018,2022,8.84,Civil Project Manager,"R, Python, Linux, Excel, Power BI","Cisco CCNA, Azure Fundamentals",Kolkata
Timothy Rogers,BITS Pilani,Computer Science,2020,2024,6.71,Mechanical Design Engineer,"MATLAB, Java, AutoCAD, Python, Linux",,Kolkata
Wendy Barrett,IIT Delhi,Data Science,2018,2022,8.53,ML Engineer,"Power BI, SQL, Java, Excel, Linux",,Pune
Kimberly Tanner,NIT Warangal,Mechanical,2019,2023,8.08,ML Engineer,"TensorFlow, Python, MATLAB, R",,Pune
Katrina Carr,VIT,AI & ML,2017,2021,8.12,Biotech Researcher,"TensorFlow, R",Scrum Master,Kolkata
Allison Lane,IIT Bombay,Electronics,2020,2024,7.19,Biotech Researcher,"Linux, Excel",AWS Certified,Bangalore
Allen Acosta,IIT Bombay,Cybersecurity,2017,2021,6.04,Cybersecurity Analyst,"MATLAB, Linux, Java, R, Excel","Google Data Analytics, Azure Fundamentals",Pune
Diana Thomas,BITS Pilani,Electronics,2017,2021,7.83,Civil Project Manager,"C++, MATLAB, TensorFlow, Linux",AutoCAD Professional,Chennai
Samantha Weber,IIT Bombay,AI & ML,2016,2020,6.74,Systems Engineer,"Java, SQL, TensorFlow, Python, R","Scrum Master, AutoCAD Professional",Kolkata
Sabrina Johnson,VIT,Data Science,2015,2019,6.07,ML Engineer,"C++, SQL, Power BI, Excel",Cisco CCNA,Chennai
Gerald Jarvis,IIT Bombay,Civil,2020,2024,9.5,Systems Engineer,"C++, Linux, MATLAB","Scrum Master, Google Data Analytics",Mumbai
Jason Rubio,BITS Pilani,Mechanical,2021,2025,9.66,Systems Engineer,"MATLAB, Java, SQL, Python","Cisco CCNA, AWS Certified",Pune
Tina Willis,BITS Pilani,Data Science,2021,2025,8.03,Civil Project Manager,"AutoCAD, TensorFlow, Linux, Java, R","Google Data Analytics, AutoCAD Professional",Bangalore
Jeffrey Rogers,NIT Warangal,Mechanical,2017,2021,9.31,Civil Project Manager,"Excel, MATLAB",Scrum Master,Delhi
Frank Warner,NIT Warangal,Mechanical,2016,2020,7.61,Data Analyst,"Excel, Python, Linux",Scrum Master,Pune
Juan Mitchell,IIIT Hyderabad,Cybersecurity,2019,2023,6.92,ML Engineer,"TensorFlow, Power BI",AutoCAD Professional,Pune
Kimberly Williams,IIT Bombay,Electronics,2020,2024,8.6,Software Engineer,"SQL, Power BI, TensorFlow, C++, Python",AWS Certified,Bangalore
Annette Smith,IIT Bombay,Mechanical,2017,2021,6.47,Systems Engineer,"Excel, Python, Linux",,Bangalore
Christine Wilcox,NIT Trichy,Data Science,2019,2023,6.9,Mechanical Design Engineer,"Linux, Power BI",,Chennai
Scott Rodriguez,NIT Trichy,AI & ML,2015,2019,7.12,Systems Engineer,"C++, Python, Linux","Scrum Master, Google Data Analytics",Kolkata
Christopher Morrison,IIIT Hyderabad,Civil,2021,2025,7.62,Cybersecurity Analyst,"Excel, Java, Power BI, C++, Linux",Scrum Master,Bangalore
Stacy Golden,VIT,Data Science,2020,2024,6.58,Civil Project Manager,"Python, R, SQL, Linux, Java",AutoCAD Professional,Bangalore
Dwayne Thomas,IIIT Hyderabad,Cybersecurity,2020,2024,7.88,Biotech Researcher,"AutoCAD, TensorFlow, R",,Mumbai
Alexandra Hatfield,NIT Warangal,Electronics,2021,2025,7.12,Mechanical Design Engineer,"C++, R",AutoCAD Professional,Chennai
Julie Kelly,NIT Warangal,Data Science,2017,2021,7.02,Data Analyst,"Excel, Java",Azure Fundamentals,Kolkata
Kathryn Vargas,IIT Delhi,Mechanical,2018,2022,8.97,Mechanical Design Engineer,"R, Java, MATLAB","AutoCAD Professional, Scrum Master",Hyderabad
Theresa Gray,BITS Pilani,Computer Science,2020,2024,6.73,Biotech Researcher,"Java, C++, Python, Linux",Cisco CCNA,Kolkata
Steven Coleman,IIT Madras,Mechanical,2018,2022,6.29,Civil Project Manager,"AutoCAD, SQL",,Mumbai
Mary Acosta,VIT,AI & ML,2018,2022,8.45,Data Analyst,"Python, C++, Power BI, TensorFlow, Excel",,Bangalore
Brandy Edwards DDS,IIT Delhi,Electronics,2019,2023,9.71,Civil Project Manager,"Excel, Python, Java","AutoCAD Professional, Cisco CCNA",Hyderabad
Sara Russell,IIT Bombay,AI & ML,2015,2019,9.28,Systems Engineer,"C++, TensorFlow","Scrum Master, AWS Certified",Delhi
Heidi Montoya,VIT,AI & ML,2019,2023,9.27,Software Engineer,"Excel, MATLAB, Linux, Power BI",AutoCAD Professional,Chennai
Samantha Scott,IIT Bombay,Biotech,2021,2025,7.37,Mechanical Design Engineer,"Excel, C++, Power BI, AutoCAD",Google Data Analytics,Kolkata
Helen Yu,NIT Warangal,Electronics,2016,2020,7.5,Biotech Researcher,"Excel, TensorFlow, Python, C++, SQL",,Mumbai
Earl Duncan,IIT Bombay,Electronics,2018,2022,6.85,Data Analyst,"Linux, SQL, C++, Power BI, R","Azure Fundamentals, Google Data Analytics",Mumbai
Jennifer Haynes,IIIT Hyderabad,Computer Science,2020,2024,7.95,Software Engineer,"TensorFlow, Python, Excel, AutoCAD",Cisco CCNA,Chennai
Eugene Villanueva,IIT Delhi,Cybersecurity,2021,2025,9.55,Civil Project Manager,"Power BI, R",,Hyderabad
Karen Crawford,BITS Pilani,Cybersecurity,2015,2019,7.67,Data Analyst,"SQL, C++",,Delhi
Christina Jones,IIT Madras,Biotech,2017,2021,6.75,Systems Engineer,"Power BI, SQL",AWS Certified,Hyderabad
Michael Potter,IIIT Hyderabad,Civil,2018,2022,9.52,ML Engineer,"Linux, SQL","Azure Fundamentals, Google Data Analytics",Chennai
Jonathan Ochoa,IIT Madras,Computer Science,2022,2026,8.1,Biotech Researcher,"TensorFlow, Linux, Java, Excel",Azure Fundamentals,Mumbai
David Brown,BITS Pilani,Computer Science,2021,2025,6.97,ML Engineer,"Excel, R, C++",Cisco CCNA,Pune
Melissa Ponce,IIT Delhi,AI & ML,2017,2021,9.59,Civil Project Manager,"Java, SQL, MATLAB",Google Data Analytics,Pune
Andrew Lopez,NIT Warangal,Biotech,2021,2025,8.32,Civil Project Manager,"MATLAB, Excel, Linux, TensorFlow",AutoCAD Professional,Hyderabad
Jason Davis,BITS Pilani,Data Science,2022,2026,8.35,Systems Engineer,"R, Power BI","Azure Fundamentals, AWS Certified",Pune
Grace Mcbride,IIT Bombay,Civil,2016,2020,8.72,ML Engineer,"Linux, SQL","Cisco CCNA, Google Data Analytics",Mumbai
Scott Ward,NIT Trichy,AI & ML,2017,2021,9.98,ML Engineer,"MATLAB, Power BI",,Kolkata
Tiffany Barton,IIT Bombay,Biotech,2020,2024,7.06,Biotech Researcher,"Linux, Excel, R, SQL",Azure Fundamentals,Chennai
Sara Reeves,BITS Pilani,Cybersecurity,2022,2026,8.58,Mechanical Design Engineer,"MATLAB, AutoCAD",Scrum Master,Mumbai
Krystal Acevedo,BITS Pilani,Computer Science,2019,2023,9.1,Civil Project Manager,"TensorFlow, MATLAB","AWS Certified, Azure Fundamentals",Mumbai
Samuel Lewis,BITS Pilani,Cybersecurity,2019,2023,8.32,Biotech Researcher,"AutoCAD, Power BI, Java","AWS Certified, Azure Fundamentals",Ahmedabad
Christian Eaton,IIT Madras,Civil,2017,2021,8.28,Civil Project Manager,"Python, Linux, AutoCAD",,Delhi
Sarah Hutchinson,NIT Warangal,Cybersecurity,2019,2023,7.73,Mechanical Design Engineer,"R, TensorFlow",,Mumbai
Paul Vargas,NIT Trichy,Civil,2015,2019,7.91,Data Analyst,"Java, Linux, Python, C++",Azure Fundamentals,Hyderabad
Michelle Nichols,IIT Delhi,Data Science,2016,2020,6.46,Systems Engineer,"SQL, Python, C++",,Hyderabad
Julie Hernandez,NIT Warangal,Computer Science,2020,2024,8.68,Data Analyst,"Linux, Power BI, R",,Ahmedabad
Michael Lamb,IIT Delhi,Biotech,2022,2026,9.57,Civil Project Manager,"SQL, Java, Excel",AWS Certified,Chennai
Julia Smith,IIIT Hyderabad,Computer Science,2016,2020,7.44,Software Engineer,"Java, SQL, C++, Linux",,Chennai
Tommy Peters,IIT Bombay,Computer Science,2022,2026,8.0,Biotech Researcher,"R, C++, AutoCAD, Excel",,Chennai
Kyle Schneider,VIT,Cybersecurity,2015,2019,6.18,Civil Project Manager,"SQL, Excel, AutoCAD",,Kolkata
Jacob Leach,IIT Delhi,Data Science,2022,2026,7.92,Biotech Researcher,"Excel, R, AutoCAD, Linux, MATLAB","Cisco CCNA, Scrum Master",Bangalore
Mrs. Shirley Roman DVM,NIT Warangal,Data Science,2021,2025,7.28,Cybersecurity Analyst,"C++, SQL, Linux","Azure Fundamentals, AutoCAD Professional",Delhi
Jill White,IIT Bombay,Computer Science,2015,2019,9.45,Systems Engineer,"Linux, MATLAB, SQL",Cisco CCNA,Bangalore
Kyle Miller,VIT,Data Science,2020,2024,7.37,Data Analyst,"TensorFlow, SQL",AWS Certified,Kolkata
Melvin Delgado,NIT Trichy,Data Science,2022,2026,7.24,Software Engineer,"Power BI, SQL, Excel, R, Linux",,Ahmedabad
Mary Shepard,IIIT Hyderabad,Cybersecurity,2018,2022,9.16,Cybersecurity Analyst,"AutoCAD, Excel",Scrum Master,Bangalore
Michael Ingram,BITS Pilani,Cybersecurity,2018,2022,7.63,Data Analyst,"Power BI, Python, Linux, AutoCAD, MATLAB","Cisco CCNA, AutoCAD Professional",Delhi
Keith Norman,NIT Warangal,Electronics,2017,2021,7.33,Systems Engineer,"Python, TensorFlow",,Ahmedabad
Willie Moore,NIT Warangal,Computer Science,2020,2024,9.38,Mechanical Design Engineer,"TensorFlow, Java, Linux, SQL, AutoCAD",,Ahmedabad
Michael Hess,NIT Trichy,Computer Science,2018,2022,8.85,Systems Engineer,"MATLAB, SQL",,Mumbai
Sylvia Estes,IIT Delhi,Cybersecurity,2017,2021,6.78,Civil Project Manager,"MATLAB, SQL, R, Excel",,Mumbai
Emily Smith PhD,IIT Delhi,Cybersecurity,2019,2023,6.29,Mechanical Design Engineer,"C++, MATLAB, Excel",,Mumbai
Ashley White,IIIT Hyderabad,Cybersecurity,2015,2019,8.56,Software Engineer,"R, SQL, Excel, Power BI",Scrum Master,Delhi
Angela Shaw,IIIT Hyderabad,Civil,2016,2020,6.67,Systems Engineer,"R, TensorFlow, Java, AutoCAD, Excel",,Pune
Jerry Collins,IIT Bombay,Cybersecurity,2019,2023,6.99,Civil Project Manager,"Linux, Java","AutoCAD Professional, Google Data Analytics",Bangalore
Kim Saunders,IIT Delhi,Mechanical,2016,2020,9.26,ML Engineer,"Java, Power BI",Azure Fundamentals,Mumbai
Chase Barber,NIT Warangal,Computer Science,2021,2025,8.41,Biotech Researcher,"AutoCAD, Java",,Chennai
Lisa Barrett,IIT Delhi,Biotech,2021,2025,9.81,Biotech Researcher,"Python, Java","Cisco CCNA, Scrum Master",Kolkata
Benjamin Gonzalez,BITS Pilani,Computer Science,2022,2026,8.16,Software Engineer,"Java, TensorFlow",,Mumbai
Carlos Torres,IIT Madras,Data Science,2019,2023,7.55,Software Engineer,"Linux, Java",Cisco CCNA,Kolkata
Dr. Adam Powell,IIT Delhi,Computer Science,2015,2019,6.4,Biotech Researcher,"MATLAB, TensorFlow, Linux",,Ahmedabad
Craig Baldwin,IIT Bombay,AI & ML,2017,2021,9.37,Civil Project Manager,"AutoCAD, Linux, Power BI",Cisco CCNA,Mumbai
Alexander Maynard,IIT Madras,AI & ML,2021,2025,9.04,Data Analyst,"SQL, Excel, MATLAB, Linux",AWS Certified,Delhi
Ernest Smith,NIT Warangal,Computer Science,2016,2020,8.28,Systems Engineer,"SQL, Excel, Python, Linux",,Kolkata
Laura Lewis,IIT Delhi,Civil,2017,2021,7.82,Systems Engineer,"Python, MATLAB",Google Data Analytics,Chennai
Larry Fowler,IIT Madras,Electronics,2022,2026,6.54,Biotech Researcher,"R, Power BI","AutoCAD Professional, Azure Fundamentals",Mumbai
Natalie Smith,IIT Madras,Civil,2022,2026,9.65,Civil Project Manager,"R, AutoCAD",,Delhi
Matthew Macdonald,BITS Pilani,Data Science,2016,2020,9.29,Biotech Researcher,"SQL, AutoCAD",,Mumbai
Jodi Underwood,IIT Madras,Civil,2015,2019,7.86,Systems Engineer,"Python, Linux, R, SQL","Google Data Analytics, AutoCAD Professional",Hyderabad
John Smith,IIT Bombay,Mechanical,2018,2022,6.96,Biotech Researcher,"TensorFlow, Python, Power BI, Java",,Mumbai
Joy Diaz,IIT Bombay,Data Science,2018,2022,7.3,Data Analyst,"SQL, Linux",,Delhi
Mary Stephenson,IIT Delhi,Computer Science,2015,2019,8.16,Civil Project Manager,"Excel, Java, MATLAB","Cisco CCNA, AutoCAD Professional",Delhi
Tiffany Collins,BITS Pilani,Data Science,2021,2025,8.83,Software Engineer,"Linux, Excel, R",,Chennai
Ian Dean,IIIT Hyderabad,Mechanical,2017,2021,9.52,Data Analyst,"Excel, C++",AutoCAD Professional,Kolkata
Emily Burch,NIT Warangal,Cybersecurity,2020,2024,7.75,Mechanical Design Engineer,"MATLAB, C++","AutoCAD Professional, AWS Certified",Delhi
Terri James,IIT Madras,Mechanical,2017,2021,6.32,Software Engineer,"TensorFlow, Excel, C++, Python, AutoCAD",,Kolkata
Holly Owens,IIIT Hyderabad,AI & ML,2022,2026,8.8,Mechanical Design Engineer,"C++, TensorFlow, Linux, Power BI, Java",Google Data Analytics,Delhi
Robert Allen,IIT Delhi,Electronics,2019,2023,9.63,Civil Project Manager,"C++, Linux, R",,Kolkata
Anthony Cain,NIT Trichy,Mechanical,2015,2019,6.43,Software Engineer,"C++, MATLAB",,Pune
Brian Jones,VIT,Cybersecurity,2016,2020,9.06,Biotech Researcher,"AutoCAD, Linux, TensorFlow, R, Python","Cisco CCNA, Scrum Master",Bangalore
Carlos Miles,IIT Madras,Computer Science,2015,2019,7.73,Systems Engineer,"Linux, AutoCAD, C++, MATLAB, Power BI","Scrum Master, Azure Fundamentals",Ahmedabad
Whitney Contreras,IIT Madras,Computer Science,2019,2023,7.5,Systems Engineer,"SQL, Power BI, C++, Java, Linux",,Ahmedabad
Jason Valdez,NIT Trichy,Biotech,2017,2021,8.5,Software Engineer,"Excel, Python, Linux, C++",,Bangalore
Ryan Odonnell,IIT Bombay,Mechanical,2015,2019,7.16,Software Engineer,"Java, TensorFlow",,Mumbai
Tina Thompson,IIT Madras,Data Science,2018,2022,7.62,Cybersecurity Analyst,"Java, AutoCAD, SQL, Power BI, Linux",,Chennai
Christopher Hanson,IIT Delhi,Data Science,2021,2025,8.59,Civil Project Manager,"TensorFlow, MATLAB",,Delhi
Steve Curry,VIT,Computer Science,2021,2025,9.62,Civil Project Manager,"Python, Java, MATLAB, C++",Scrum Master,Bangalore
